
row,column,name,classroom,other_info
5,1,Python编程：从新手到专家之路,二教101,(备注：校内140人，校外260人.考核方式：课程Presentation加期末大作业) 每周 考试方式：堂考、论文、或统一时间考试
5,2,Python编程：从新手到专家之路,二教101,(备注：校内140人，校外260人.考核方式：课程Presentation加期末大作业) 每周 考试方式：堂考、论文、或统一时间考试
5,3,Python编程：从新手到专家之路,二教101,(备注：校内140人，校外260人.考核方式：课程Presentation加期末大作业) 每周 考试方式：堂考、论文、或统一时间考试
5,4,Python编程：从新手到专家之路,二教101,(备注：校内140人，校外260人.考核方式：课程Presentation加期末大作业) 每周 考试方式：堂考、论文、或统一时间考试
6,1,Python编程：从新手到专家之路,二教101,(备注：校内140人，校外260人.考核方式：课程Presentation加期末大作业) 每周 考试方式：堂考、论文、或统一时间考试
6,2,Python编程：从新手到专家之路,二教101,(备注：校内140人，校外260人.考核方式：课程Presentation加期末大作业) 每周 考试方式：堂考、论文、或统一时间考试
6,3,Python编程：从新手到专家之路,二教101,(备注：校内140人，校外260人.考核方式：课程Presentation加期末大作业) 每周 考试方式：堂考、论文、或统一时间考试
6,4,Python编程：从新手到专家之路,二教101,(备注：校内140人，校外260人.考核方式：课程Presentation加期末大作业) 每周 考试方式：堂考、论文、或统一时间考试
7,1,Python编程：从新手到专家之路,二教101,(备注：校内140人，校外260人.考核方式：课程Presentation加期末大作业) 每周 考试方式：堂考、论文、或统一时间考试
7,2,Python编程：从新手到专家之路,二教101,(备注：校内140人，校外260人.考核方式：课程Presentation加期末大作业) 每周 考试方式：堂考、论文、或统一时间考试
7,3,Python编程：从新手到专家之路,二教101,(备注：校内140人，校外260人.考核方式：课程Presentation加期末大作业) 每周 考试方式：堂考、论文、或统一时间考试
7,4,Python编程：从新手到专家之路,二教101,(备注：校内140人，校外260人.考核方式：课程Presentation加期末大作业) 每周 考试方式：堂考、论文、或统一时间考试
8,1,Python编程：从新手到专家之路,二教101,(备注：校内140人，校外260人.考核方式：课程Presentation加期末大作业) 每周 考试方式：堂考、论文、或统一时间考试
8,2,Python编程：从新手到专家之路,二教101,(备注：校内140人，校外260人.考核方式：课程Presentation加期末大作业) 每周 考试方式：堂考、论文、或统一时间考试
8,3,Python编程：从新手到专家之路,二教101,(备注：校内140人，校外260人.考核方式：课程Presentation加期末大作业) 每周 考试方式：堂考、论文、或统一时间考试
8,4,Python编程：从新手到专家之路,二教101,(备注：校内140人，校外260人.考核方式：课程Presentation加期末大作业) 每周 考试方式：堂考、论文、或统一时间考试
